country_name,year,party_name,populism,minority_rights,political_pluralism,anti_elitism,respect_opponents,gender_equality
Mexico,1991,Party of the Democratic Revolution,0.764,0.607,0.985,2.02,-0.846,1.05
Mexico,1994,Party of the Democratic Revolution,0.753,0.668,0.908,1.878,-0.722,1.05
Mexico,1997,Party of the Democratic Revolution,0.698,0.668,1.133,1.371,-0.549,1.429
Mexico,2000,Party of the Democratic Revolution,0.707,0.668,0.902,1.464,-0.448,2.364
Mexico,2003,Party of the Democratic Revolution,0.704,0.462,0.66,1.366,-0.651,2.217
Mexico,2006,Party of the Democratic Revolution,0.829,0.168,0.52,1.958,-1.237,1.969
Mexico,2009,Party of the Democratic Revolution,0.803,0.467,0.77,1.958,-0.731,1.969
Mexico,2012,Party of the Democratic Revolution,0.815,0.378,0.61,1.818,-0.753,2.069
Mexico,2015,Party of the Democratic Revolution,0.59,0.86,0.904,0.804,-0.253,2.206
Mexico,2018,Party of the Democratic Revolution,0.552,0.86,0.792,0.579,-0.379,2.49
Mexico,2003,Ecologist Green Party of Mexico,0.128,0.806,-0.492,-1.73,1.559,0.68
Mexico,2006,Ecologist Green Party of Mexico,0.063,0.806,-0.492,-2.319,1.559,0.779
Mexico,2009,Ecologist Green Party of Mexico,0.063,0.806,-0.613,-2.319,1.559,1.032
Mexico,2012,Ecologist Green Party of Mexico,0.061,0.703,-0.613,-2.319,1.559,1.228
Mexico,2015,Ecologist Green Party of Mexico,0.061,0.703,-0.613,-2.319,1.559,1.394
Mexico,2018,Ecologist Green Party of Mexico,0.062,0.799,-0.55,-2.327,1.375,1.767
Mexico,1970,National Action Party,0.182,1.492,1.289,-0.509,0.284,-0.252
Mexico,1973,National Action Party,0.187,1.492,1.289,-0.432,0.444,-0.252
Mexico,1976,National Action Party,0.187,1.291,1.031,-0.432,0.567,-0.252
Mexico,1979,National Action Party,0.206,1.44,1.308,-0.513,0.567,-0.252
Mexico,1982,National Action Party,0.187,1.44,1.308,-0.424,0.291,-0.252
Mexico,1985,National Action Party,0.188,1.264,1.308,-0.417,0.438,-0.107
Mexico,1988,National Action Party,0.231,1.461,1.3,-0.433,0.009,0.006
Mexico,1991,National Action Party,0.216,1.245,1.333,-0.619,0.29,0.125
Mexico,1994,National Action Party,0.168,1.245,1.219,-0.769,0.08,0.503
Mexico,1997,National Action Party,0.168,1.576,1.5,-0.769,0.215,0.617
Mexico,2000,National Action Party,0.169,1.576,1.242,-1.191,-0.335,1.182
Mexico,2003,National Action Party,0.154,1.283,1.009,-1.303,0.174,1.182
Mexico,2006,National Action Party,0.109,1.158,0.374,-1.632,-0.867,1.452
Mexico,2009,National Action Party,0.109,1.258,0.993,-1.632,0.173,1.452
Mexico,2012,National Action Party,0.142,1.258,0.797,-1.245,-0.049,2.029
Mexico,2015,National Action Party,0.134,1.403,0.984,-1.319,-0.093,1.648
Mexico,2018,National Action Party,0.159,1.678,1.111,-0.984,-0.749,1.682
Mexico,2006,Labor Party,0.725,-0.74,-0.246,1.746,-0.99,-0.065
Mexico,2018,Labor Party,0.655,-0.87,-0.131,0.98,-1.055,0.191
Mexico,2006,Convergence / Citizens' Movement,0.494,0.525,0.537,0.533,0.613,0.415
Mexico,2015,Convergence / Citizens' Movement,0.434,0.912,0.711,0.206,0.797,0.921
Mexico,2018,Convergence / Citizens' Movement,0.434,1.079,0.794,0.206,0.58,1.528
Mexico,1970,Institutional Revolutionary Party,0.199,-0.611,-3.514,-1.363,1.565,-0.399
Mexico,1973,Institutional Revolutionary Party,0.196,-0.611,-3.221,-1.386,1.565,-0.399
Mexico,1976,Institutional Revolutionary Party,0.131,-0.611,-2.9,-1.815,1.411,-0.151
Mexico,1979,Institutional Revolutionary Party,0.13,-0.467,-2.172,-1.815,1.563,-0.151
Mexico,1982,Institutional Revolutionary Party,0.11,-0.361,-2.407,-1.946,1.747,0.059
Mexico,1985,Institutional Revolutionary Party,0.109,-0.195,-2.472,-1.946,1.563,0.231
Mexico,1988,Institutional Revolutionary Party,0.107,-0.485,-3.128,-1.946,0.56,0.553
Mexico,1991,Institutional Revolutionary Party,0.132,-0.045,-1.679,-1.764,1.075,0.804
Mexico,1994,Institutional Revolutionary Party,0.111,0.252,-1.069,-1.895,0.905,1.239
